Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C2, C3, C4, C5",0201,7,100n,C181043
C11,0402,1,10uF,C15525
"C13, C17",0402,2,1uF,C52923
"C14, C15, C16, C30",0201,4,33n,C161475
"C18, C19, C20, C21, C24, C25, C26, C32, C33, C34, C35, C36, C37, C6, C8",1206,15,10uF,C5119295
"C27, C28, C29",0402,3,1uF,C1518208
C31,0402,1,1uF,C14445
C7,0402,1,220n,C49333232
C9,0603,1,10uF,C96446
D1,SOD-123_L2.8-W1.8-LS3.7-FD,1,DSK110,C908227
D2,0402,1,LED,C20608784
D3,SMB_L4.5-W3.7-LS5.4-RD,1,SMBJ26A_C908802,C908802
FB1,0402,1,BLM15HD102SN1D,C21516
L1,L1008,1,YSMC252012,C41405922
"Q1, Q2, Q3, Q4, Q5, Q6",POWERPAK-1212-8_L3.0-W3.0-P0.65-LS3.3-BL,6,SP40N03GNJ,C22466709
"R1, R19, R21",R0508,3,SME08A1FR002T,C2692045
"R10, R15",0201,2,100k,C270364
"R11, R13, R16, R17, R37, R6, R9",0201,7,10k,C473048
R12,R0402,1,NCP15,C77131
R14,0805,1,NCP15,C77131
"R18, R2, R3, R4, R5, R7, R8",0201,7,20R,C473548
"R22, R23, R28, R29, R33, R34",0201,6,1.5k,C270361
"R24, R27, R32",0201,3,15k,C473452
"R25, R26, R30, R31, R35, R36",0201,6,30k,C246933
TP1,TestPoint_Pad_D1.0mm,1,CLK,
TP2,TestPoint_Pad_D1.0mm,1,DIO,
TP3,TestPoint_Pad_D1.0mm,1,NRST,
TP4,TestPoint_Pad_D1.0mm,1,BOOT,
U1,VFQFPN-64_L9.0-W9.0-P0.50-TL-EP4.0,1,STSPIN32G4,C7434864
U2,QFN-16_L3.0-W3.0-P0.50-TL-EP1.7,1,MT6701,C2913974
U3,TSOT-23-8_L2.9-W1.6-P0.65-LS2.8-BR,1,TCAN1057,C3236208
U4,UDFN-4_L1.0-W1.0-P0.65-BL-EP,1,LDO,C39673733
"U5, U6",CONN-SMD_SM03B-SRSS-TB-LF-SN-P,2,SH-3P,C160403
U7,SiPDrive_EDGE,1,~,
